producto,ciudad,precio_kg,var_mensual_porcentaje,periodo
"Carne de res, bola de pierna",Pereira,35000.0,0.0,2026-04-01
Aceite vegetal mezcla**,Pereira,9915.0,-1.35,2026-04-01
Café molido,Pereira,55930.0,0.0,2026-04-01
Galletas saladas,Pereira,19859.0,2.82,2026-04-01
Harina de trigo,Pereira,4006.0,0.0,2026-04-01
Harina precocida de maíz,Pereira,4099.0,-1.58,2026-04-01
Lomitos de atún en lata,Pereira,46041.0,-1.76,2026-04-01
Margarina,Pereira,24796.0,-0.02,2026-04-01
Panela*,Pereira,6127.0,0.46,2026-04-01
Pastas alimenticias,Pereira,7740.0,-2.52,2026-04-01
Sal yodada,Pereira,2185.0,5.4,2026-04-01
Sardinas en lata,Pereira,19741.0,0.0,2026-04-01
Ahuyama,Barranquilla,1005.0,-18.82,2026-01-01
Arveja verde en vaina,Barranquilla,9947.0,-0.06,2026-01-01
Cebolla cabezona blanca,Barranquilla,1623.0,-3.85,2026-01-01
Cebolla junca,Barranquilla,2493.0,-4.19,2026-01-01
Fríjol verde*,Barranquilla,9944.0,20.74,2026-01-01
Habichuela,Barranquilla,5675.0,33.5,2026-01-01
Lechuga Batavia,Barranquilla,3231.0,17.49,2026-01-01
Pepino cohombro,Barranquilla,2946.0,45.7,2026-01-01
Pimentón,Barranquilla,3081.0,-4.47,2026-01-01
Remolacha,Barranquilla,2616.0,41.1,2026-01-01
Repollo blanco,Barranquilla,1795.0,18.17,2026-01-01
Tomate*,Barranquilla,3267.0,13.87,2026-01-01
Zanahoria,Barranquilla,1413.0,-12.07,2026-01-01
Aguacate papelillo,Barranquilla,11475.0,,2026-01-01
Banano*,Barranquilla,1825.0,-3.18,2026-01-01
Coco,Barranquilla,4267.0,5.44,2026-01-01
Guayaba pera,Barranquilla,3408.0,-7.69,2026-01-01
Lulo,Barranquilla,6319.0,0.3,2026-01-01
Mandarina*,Barranquilla,3944.0,29.78,2026-01-01
Mango Tommy,Barranquilla,3178.0,5.02,2026-01-01
Maracuyá,Barranquilla,4764.0,3.16,2026-01-01
Mora de Castilla,Barranquilla,6007.0,2.3,2026-01-01
Naranja*,Barranquilla,2367.0,1.81,2026-01-01
Papaya*,Barranquilla,2267.0,14.32,2026-01-01
Piña gold,Barranquilla,4142.0,1.1,2026-01-01
Tomate de árbol,Barranquilla,2800.0,10.41,2026-01-01
Papa negra*,Barranquilla,1350.0,15.68,2026-01-01
Papa criolla limpia,Barranquilla,3328.0,5.79,2026-01-01
Plátano hartón verde,Barranquilla,3325.0,9.92,2026-01-01
Yuca*,Barranquilla,2222.0,14.3,2026-01-01
Arroz de primera,Barranquilla,3486.0,-3.43,2026-01-01
Fríjol seco*,Barranquilla,7508.0,0.11,2026-01-01
Lenteja importada,Barranquilla,5042.0,0.18,2026-01-01
Maíz blanco trillado,Barranquilla,2633.0,8.04,2026-01-01
Queso costeño,Barranquilla,22667.0,8.98,2026-01-01
"Carne de cerdo, lomo sin hueso",Barranquilla,19500.0,-4.72,2026-01-01
"Carne de res, lomo fino",Barranquilla,45167.0,0.82,2026-01-01
Pechuga de pollo,Barranquilla,13092.0,0.96,2026-01-01
Aceite vegetal mezcla**,Barranquilla,9808.0,-0.24,2026-01-01
Azúcar sulfitada,Barranquilla,2983.0,0.3,2026-01-01
Café molido,Barranquilla,54375.0,0.18,2026-01-01
Galletas saladas,Barranquilla,17356.0,0.38,2026-01-01
Harina de trigo,Barranquilla,2097.0,0.0,2026-01-01
Harina precocida de maíz,Barranquilla,2747.0,0.55,2026-01-01
Jugo instantáneo (sobre),Barranquilla,85375.0,-1.15,2026-01-01
Lomitos de atún en lata,Barranquilla,40211.0,0.04,2026-01-01
Margarina,Barranquilla,18476.0,-1.8,2026-01-01
Panela*,Barranquilla,6685.0,-1.15,2026-01-01
Pastas alimenticias,Barranquilla,5793.0,-0.31,2026-01-01
Sal yodada,Barranquilla,2391.0,0.0,2026-01-01
Salsa de tomate doy pack,Barranquilla,19077.0,-0.02,2026-01-01
Sardinas en lata,Barranquilla,12511.0,3.74,2026-01-01
Ahuyama,Bogotá,1683.0,-4.38,2026-01-01
Arveja verde en vaina,Bogotá,4342.0,-6.16,2026-01-01
Cebolla cabezona blanca,Bogotá,1109.0,-2.55,2026-01-01
Cebolla junca,Bogotá,2463.0,1.03,2026-01-01
Chócolo mazorca,Bogotá,1307.0,-40.64,2026-01-01
Fríjol verde*,Bogotá,4687.0,16.62,2026-01-01
Habichuela,Bogotá,5256.0,28.92,2026-01-01
Lechuga Batavia,Bogotá,1789.0,-15.37,2026-01-01
Pepino cohombro,Bogotá,4165.0,29.51,2026-01-01
Pimentón,Bogotá,5477.0,10.58,2026-01-01
Remolacha,Bogotá,2162.0,61.83,2026-01-01
Tomate*,Bogotá,3276.0,37.94,2026-01-01
Zanahoria,Bogotá,1407.0,-18.43,2026-01-01
Aguacate papelillo,Bogotá,11421.0,-5.58,2026-01-01
Banano*,Bogotá,2354.0,1.47,2026-01-01
Coco,Bogotá,6669.0,-0.24,2026-01-01
Granadilla,Bogotá,8109.0,-1.45,2026-01-01
Guayaba pera,Bogotá,2669.0,-11.27,2026-01-01
Limón común,Bogotá,1204.0,-22.22,2026-01-01
Lulo,Bogotá,5592.0,16.02,2026-01-01
Mandarina*,Bogotá,3470.0,30.89,2026-01-01
Mango Tommy,Bogotá,2505.0,29.66,2026-01-01
Manzana royal gala importada,Bogotá,9338.0,6.32,2026-01-01
Maracuyá,Bogotá,4329.0,7.42,2026-01-01
Mora de Castilla,Bogotá,5220.0,6.92,2026-01-01
Naranja*,Bogotá,2749.0,26.27,2026-01-01
Papaya*,Bogotá,1798.0,-12.76,2026-01-01
Piña gold,Bogotá,2640.0,5.31,2026-01-01
Tomate de árbol,Bogotá,2931.0,23.2,2026-01-01
Uva red globe nacional,Bogotá,9258.0,-27.6,2026-01-01
Arracacha*,Bogotá,2887.0,12.95,2026-01-01
Papa negra*,Bogotá,1598.0,32.39,2026-01-01
Papa criolla limpia,Bogotá,3595.0,3.51,2026-01-01
Plátano hartón verde,Bogotá,4462.0,16.14,2026-01-01
Yuca*,Bogotá,3724.0,-0.11,2026-01-01
Arroz de primera,Bogotá,3068.0,-0.94,2026-01-01
Arveja verde seca importada,Bogotá,3486.0,0.17,2026-01-01
Fríjol seco*,Bogotá,11132.0,7.62,2026-01-01
Garbanzo importado,Bogotá,8870.0,17.28,2026-01-01
Lenteja importada,Bogotá,5433.0,5.25,2026-01-01
Maíz blanco trillado,Bogotá,2450.0,9.18,2026-01-01
Huevo tipo AA**,Bogotá,352.0,-4.35,2026-01-01
Queso costeño,Bogotá,23188.0,-6.59,2026-01-01
"Carne de cerdo, lomo sin hueso",Bogotá,21500.0,1.1,2026-01-01
"Carne de res, lomo fino",Bogotá,54250.0,2.17,2026-01-01
Pechuga de pollo,Bogotá,18713.0,2.62,2026-01-01
Aceite vegetal mezcla**,Bogotá,8583.0,3.17,2026-01-01
Azúcar sulfitada,Bogotá,3105.0,-0.86,2026-01-01
Café molido,Bogotá,51443.0,-1.37,2026-01-01
Galletas saladas,Bogotá,17299.0,-2.7,2026-01-01
Harina de trigo,Bogotá,2624.0,-2.6,2026-01-01
Harina precocida de maíz,Bogotá,4192.0,2.0,2026-01-01
Jugo instantáneo (sobre),Bogotá,86177.0,1.0,2026-01-01
Lomitos de atún en lata,Bogotá,29831.0,-19.04,2026-01-01
Margarina,Bogotá,15093.0,-1.04,2026-01-01
Panela*,Bogotá,5419.0,11.92,2026-01-01
Pastas alimenticias,Bogotá,7388.0,1.08,2026-01-01
Sal yodada,Bogotá,2447.0,38.09,2026-01-01
Salsa de tomate doy pack,Bogotá,17728.0,0.88,2026-01-01
Sardinas en lata,Bogotá,17030.0,1.1,2026-01-01
Ahuyama,Bucaramanga,1365.0,1.34,2026-01-01
Arveja verde en vaina,Bucaramanga,3387.0,-23.96,2026-01-01
Cebolla cabezona blanca,Bucaramanga,1222.0,3.21,2026-01-01
Cebolla junca,Bucaramanga,1756.0,-7.92,2026-01-01
Chócolo mazorca,Bucaramanga,1640.0,5.81,2026-01-01
Fríjol verde*,Bucaramanga,4137.0,1.42,2026-01-01
Habichuela,Bucaramanga,5007.0,72.48,2026-01-01
Lechuga Batavia,Bucaramanga,1748.0,-14.06,2026-01-01
Pepino cohombro,Bucaramanga,2596.0,45.43,2026-01-01
Pimentón,Bucaramanga,3821.0,-0.65,2026-01-01
Remolacha,Bucaramanga,2272.0,46.86,2026-01-01
Repollo blanco,Bucaramanga,680.0,-15.42,2026-01-01
Tomate*,Bucaramanga,3023.0,24.51,2026-01-01
Zanahoria,Bucaramanga,1073.0,-14.16,2026-01-01
Aguacate papelillo,Bucaramanga,10902.0,0.85,2026-01-01
Banano*,Bucaramanga,2926.0,-0.24,2026-01-01
Granadilla,Bucaramanga,8680.0,-5.94,2026-01-01
Guayaba pera,Bucaramanga,2545.0,15.37,2026-01-01
Limón común,Bucaramanga,1907.0,-9.92,2026-01-01
Lulo,Bucaramanga,5283.0,2.8,2026-01-01
Mandarina*,Bucaramanga,3030.0,24.44,2026-01-01
Mango Tommy,Bucaramanga,2574.0,39.21,2026-01-01
Manzana royal gala importada,Bucaramanga,8978.0,7.28,2026-01-01
Maracuyá,Bucaramanga,4017.0,5.79,2026-01-01
Mora de Castilla,Bucaramanga,4109.0,3.03,2026-01-01
Naranja*,Bucaramanga,1760.0,29.32,2026-01-01
Papaya*,Bucaramanga,2084.0,0.39,2026-01-01
Piña gold,Bucaramanga,2514.0,-6.16,2026-01-01
Tomate de árbol,Bucaramanga,2873.0,6.57,2026-01-01
Uva red globe nacional,Bucaramanga,9857.0,-23.75,2026-01-01
Arracacha*,Bucaramanga,1771.0,-0.39,2026-01-01
Papa negra*,Bucaramanga,1441.0,20.59,2026-01-01
Papa criolla limpia,Bucaramanga,2240.0,-18.93,2026-01-01
Plátano hartón verde,Bucaramanga,5015.0,3.72,2026-01-01
Yuca*,Bucaramanga,3004.0,0.27,2026-01-01
Arroz de primera,Bucaramanga,3880.0,0.0,2026-01-01
Arveja verde seca importada,Bucaramanga,3853.0,1.96,2026-01-01
Fríjol seco*,Bucaramanga,9299.0,-4.25,2026-01-01
Garbanzo importado,Bucaramanga,5936.0,-0.85,2026-01-01
Lenteja importada,Bucaramanga,5509.0,0.24,2026-01-01
Queso costeño,Bucaramanga,24521.0,2.24,2026-01-01
"Carne de res, lomo fino",Bucaramanga,87614.0,1.84,2026-01-01
Pechuga de pollo,Bucaramanga,13759.0,5.96,2026-01-01
Azúcar sulfitada,Bucaramanga,3094.0,-2.34,2026-01-01
Galletas saladas,Bucaramanga,18654.0,0.09,2026-01-01
Harina de trigo,Bucaramanga,3173.0,-0.13,2026-01-01
Harina precocida de maíz,Bucaramanga,3003.0,0.74,2026-01-01
Lomitos de atún en lata,Bucaramanga,39543.0,0.82,2026-01-01
Margarina,Bucaramanga,16357.0,-0.54,2026-01-01
Panela*,Bucaramanga,5258.0,-1.07,2026-01-01
Pastas alimenticias,Bucaramanga,7170.0,3.51,2026-01-01
Sal yodada,Bucaramanga,2380.0,3.07,2026-01-01
Salsa de tomate doy pack,Bucaramanga,17498.0,2.05,2026-01-01
Sardinas en lata,Bucaramanga,17494.0,1.46,2026-01-01
Ahuyama,Cartagena,1470.0,-11.5,2026-01-01
Cebolla cabezona blanca,Cartagena,1633.0,6.52,2026-01-01
Cebolla junca,Cartagena,2832.0,-10.07,2026-01-01
Chócolo mazorca,Cartagena,1415.0,-8.89,2026-01-01
Habichuela,Cartagena,5352.0,13.08,2026-01-01
Lechuga Batavia,Cartagena,2751.0,10.62,2026-01-01
Pepino cohombro,Cartagena,3520.0,51.27,2026-01-01
Pimentón,Cartagena,4733.0,-9.1,2026-01-01
Remolacha,Cartagena,2707.0,51.57,2026-01-01
Repollo blanco,Cartagena,1458.0,-9.55,2026-01-01
Tomate*,Cartagena,3633.0,17.04,2026-01-01
Zanahoria,Cartagena,1602.0,-15.28,2026-01-01
Aguacate papelillo,Cartagena,12324.0,12.89,2026-01-01
Coco,Cartagena,5064.0,-2.78,2026-01-01
Guayaba pera,Cartagena,3615.0,-1.79,2026-01-01
Limón común,Cartagena,3304.0,13.73,2026-01-01
Lulo,Cartagena,6263.0,1.49,2026-01-01
Mandarina*,Cartagena,3963.0,0.97,2026-01-01
Mango Tommy,Cartagena,3209.0,22.11,2026-01-01
Mora de Castilla,Cartagena,5038.0,2.98,2026-01-01
Papaya*,Cartagena,2402.0,6.42,2026-01-01
Piña gold,Cartagena,3173.0,6.94,2026-01-01
Tomate de árbol,Cartagena,3314.0,16.53,2026-01-01
Uva red globe nacional,Cartagena,10597.0,-24.47,2026-01-01
Papa negra*,Cartagena,1352.0,21.47,2026-01-01
Papa criolla limpia,Cartagena,3632.0,1.03,2026-01-01
Plátano hartón verde,Cartagena,3316.0,9.29,2026-01-01
Yuca*,Cartagena,2159.0,7.68,2026-01-01
Arroz de primera,Cartagena,3428.0,-2.0,2026-01-01
Arveja verde seca importada,Cartagena,4375.0,-2.78,2026-01-01
Fríjol seco*,Cartagena,7656.0,-4.6,2026-01-01
Lenteja importada,Cartagena,5500.0,-12.0,2026-01-01
Maíz blanco trillado,Cartagena,2875.0,0.7,2026-01-01
Huevo tipo AA**,Cartagena,406.0,-6.67,2026-01-01
Queso costeño,Cartagena,22688.0,7.27,2026-01-01
"Carne de cerdo, lomo sin hueso",Cartagena,15863.0,-0.01,2026-01-01
"Carne de res, lomo fino",Cartagena,56440.0,8.04,2026-01-01
Pechuga de pollo,Cartagena,13863.0,3.88,2026-01-01
Aceite vegetal mezcla**,Cartagena,9884.0,1.04,2026-01-01
Azúcar sulfitada,Cartagena,2841.0,-1.04,2026-01-01
Café molido,Cartagena,51804.0,0.0,2026-01-01
Galletas saladas,Cartagena,15341.0,0.12,2026-01-01
Harina de trigo,Cartagena,2400.0,0.38,2026-01-01
Harina precocida de maíz,Cartagena,3229.0,-0.28,2026-01-01
Jugo instantáneo (sobre),Cartagena,81875.0,1.08,2026-01-01
Panela*,Cartagena,4900.0,-0.2,2026-01-01
Pastas alimenticias,Cartagena,6417.0,2.8,2026-01-01
Sal yodada,Cartagena,850.0,-2.3,2026-01-01
Salsa de tomate doy pack,Cartagena,18003.0,-3.3,2026-01-01
Sardinas en lata,Cartagena,10760.0,-3.06,2026-01-01
Ahuyama,Cali,1115.0,-14.3,2026-01-01
Arveja verde en vaina,Cali,3187.0,-21.07,2026-01-01
Cebolla cabezona blanca,Cali,1344.0,-1.54,2026-01-01
Cebolla junca,Cali,2504.0,13.61,2026-01-01
Chócolo mazorca,Cali,1251.0,-6.01,2026-01-01
Fríjol verde*,Cali,3742.0,-5.19,2026-01-01
Habichuela,Cali,4931.0,24.68,2026-01-01
Lechuga Batavia,Cali,1189.0,-3.41,2026-01-01
Pepino cohombro,Cali,2634.0,38.7,2026-01-01
Pimentón,Cali,3361.0,-12.7,2026-01-01
Remolacha,Cali,2501.0,37.49,2026-01-01
Repollo blanco,Cali,2501.0,37.49,2026-01-01
Tomate*,Cali,3498.0,23.6,2026-01-01
Zanahoria,Cali,1766.0,-20.41,2026-01-01
Aguacate papelillo,Cali,10979.0,5.57,2026-01-01
Banano*,Cali,2010.0,0.4,2026-01-01
Coco,Cali,4588.0,-1.92,2026-01-01
Granadilla,Cali,7417.0,-3.32,2026-01-01
Guayaba pera,Cali,1509.0,-28.92,2026-01-01
Limón común,Cali,1413.0,-17.56,2026-01-01
Lulo,Cali,4500.0,4.34,2026-01-01
Mandarina*,Cali,4952.0,22.63,2026-01-01
Mango Tommy,Cali,2541.0,18.91,2026-01-01
Manzana royal gala importada,Cali,8873.0,1.43,2026-01-01
Maracuyá,Cali,4083.0,-5.27,2026-01-01
Mora de Castilla,Cali,5146.0,3.06,2026-01-01
Naranja*,Cali,2260.0,16.2,2026-01-01
Papaya*,Cali,2278.0,6.4,2026-01-01
Piña gold,Cali,2886.0,22.18,2026-01-01
Tomate de árbol,Cali,2633.0,11.62,2026-01-01
Uva red globe nacional,Cali,9327.0,-27.49,2026-01-01
Arracacha*,Cali,2713.0,26.13,2026-01-01
Papa negra*,Cali,1504.0,34.41,2026-01-01
Papa criolla limpia,Cali,2360.0,-7.67,2026-01-01
Plátano hartón verde,Cali,2394.0,10.32,2026-01-01
Yuca*,Cali,2641.0,5.09,2026-01-01
Arroz de primera,Cali,3518.0,-2.58,2026-01-01
Arveja verde seca importada,Cali,4540.0,0.02,2026-01-01
Fríjol seco*,Cali,7500.0,0.81,2026-01-01
Lenteja importada,Cali,4800.0,-6.25,2026-01-01
Maíz blanco trillado,Cali,2533.0,0.8,2026-01-01
Huevo tipo AA**,Cali,446.0,-0.89,2026-01-01
Queso costeño,Cali,26583.0,4.66,2026-01-01
"Carne de cerdo, lomo sin hueso",Cali,26619.0,0.41,2026-01-01
Pechuga de pollo,Cali,16175.0,2.96,2026-01-01
Aceite vegetal mezcla**,Cali,12617.0,1.87,2026-01-01
Azúcar sulfitada,Cali,3162.0,2.66,2026-01-01
Café molido,Cali,50767.0,-2.89,2026-01-01
Galletas saladas,Cali,19745.0,-0.66,2026-01-01
Harina de trigo,Cali,4467.0,-4.22,2026-01-01
Harina precocida de maíz,Cali,4846.0,2.58,2026-01-01
Jugo instantáneo (sobre),Cali,92500.0,0.54,2026-01-01
Lomitos de atún en lata,Cali,26042.0,4.17,2026-01-01
Margarina,Cali,29833.0,0.83,2026-01-01
Panela*,Cali,7167.0,1.34,2026-01-01
Pastas alimenticias,Cali,8194.0,3.5,2026-01-01
Sal yodada,Cali,2600.0,1.76,2026-01-01
Salsa de tomate doy pack,Cali,22917.0,1.17,2026-01-01
Sardinas en lata,Cali,14951.0,-0.72,2026-01-01
Ahuyama,Cúcuta,1883.0,9.41,2026-01-01
Arveja verde en vaina,Cúcuta,4973.0,-17.52,2026-01-01
Cebolla cabezona blanca,Cúcuta,1166.0,-6.65,2026-01-01
Cebolla junca,Cúcuta,1805.0,-8.24,2026-01-01
Chócolo mazorca,Cúcuta,2070.0,-1.99,2026-01-01
Fríjol verde*,Cúcuta,5296.0,3.08,2026-01-01
Habichuela,Cúcuta,4806.0,14.78,2026-01-01
Lechuga Batavia,Cúcuta,1915.0,-24.61,2026-01-01
Pepino cohombro,Cúcuta,2860.0,59.07,2026-01-01
Pimentón,Cúcuta,3402.0,5.85,2026-01-01
Remolacha,Cúcuta,1923.0,31.8,2026-01-01
Repollo blanco,Cúcuta,1923.0,31.8,2026-01-01
Tomate*,Cúcuta,2844.0,38.13,2026-01-01
Zanahoria,Cúcuta,1173.0,-16.21,2026-01-01
Banano*,Cúcuta,3112.0,6.1,2026-01-01
Granadilla,Cúcuta,8915.0,17.66,2026-01-01
Guayaba pera,Cúcuta,3349.0,-3.6,2026-01-01
Limón común,Cúcuta,3875.0,-6.78,2026-01-01
Lulo,Cúcuta,6522.0,3.38,2026-01-01
Mandarina*,Cúcuta,3435.0,9.01,2026-01-01
Mango Tommy,Cúcuta,2757.0,26.99,2026-01-01
Manzana royal gala importada,Cúcuta,8914.0,7.92,2026-01-01
Maracuyá,Cúcuta,4698.0,-0.68,2026-01-01
Mora de Castilla,Cúcuta,4800.0,22.95,2026-01-01
Naranja*,Cúcuta,1816.0,13.64,2026-01-01
Papaya*,Cúcuta,2684.0,12.07,2026-01-01
Piña gold,Cúcuta,2983.0,-14.16,2026-01-01
Tomate de árbol,Cúcuta,2853.0,-11.94,2026-01-01
Arracacha*,Cúcuta,1897.0,-4.1,2026-01-01
Papa negra*,Cúcuta,1037.0,6.91,2026-01-01
Papa criolla limpia,Cúcuta,2118.0,-11.34,2026-01-01
Plátano hartón verde,Cúcuta,4629.0,-5.53,2026-01-01
Yuca*,Cúcuta,2626.0,-1.94,2026-01-01
Arroz de primera,Cúcuta,3572.0,-1.52,2026-01-01
Arveja verde seca importada,Cúcuta,3543.0,0.08,2026-01-01
Fríjol seco*,Cúcuta,7642.0,-6.8,2026-01-01
Garbanzo importado,Cúcuta,5675.0,9.13,2026-01-01
Lenteja importada,Cúcuta,5098.0,-22.01,2026-01-01
Maíz blanco trillado,Cúcuta,2580.0,0.12,2026-01-01
Huevo tipo AA**,Cúcuta,353.0,-11.08,2026-01-01
Queso costeño,Cúcuta,26052.0,-1.57,2026-01-01
"Carne de cerdo, lomo sin hueso",Cúcuta,18875.0,-2.37,2026-01-01
"Carne de res, lomo fino",Cúcuta,39417.0,3.73,2026-01-01
Pechuga de pollo,Cúcuta,14249.0,4.26,2026-01-01
Aceite vegetal mezcla**,Cúcuta,5500.0,1.36,2026-01-01
Café molido,Cúcuta,54153.0,2.48,2026-01-01
Galletas saladas,Cúcuta,18176.0,0.66,2026-01-01
Harina de trigo,Cúcuta,3229.0,2.83,2026-01-01
Harina precocida de maíz,Cúcuta,2638.0,-0.83,2026-01-01
Jugo instantáneo (sobre),Cúcuta,73750.0,4.76,2026-01-01
Lomitos de atún en lata,Cúcuta,38628.0,2.2,2026-01-01
Margarina,Cúcuta,18904.0,-3.55,2026-01-01
Panela*,Cúcuta,7092.0,-6.6,2026-01-01
Pastas alimenticias,Cúcuta,3028.0,-0.36,2026-01-01
Sal yodada,Cúcuta,2260.0,0.76,2026-01-01
Salsa de tomate doy pack,Cúcuta,21698.0,1.12,2026-01-01
Sardinas en lata,Cúcuta,17443.0,-1.16,2026-01-01
Ahuyama,Medellín,1134.0,1.98,2026-01-01
Arveja verde en vaina,Medellín,3500.0,-7.33,2026-01-01
Cebolla cabezona blanca,Medellín,1374.0,0.0,2026-01-01
Cebolla junca,Medellín,3695.0,-2.74,2026-01-01
Chócolo mazorca,Medellín,1880.0,-7.11,2026-01-01
Fríjol verde*,Medellín,3436.0,-10.64,2026-01-01
Habichuela,Medellín,3292.0,1.14,2026-01-01
Lechuga Batavia,Medellín,1332.0,-8.01,2026-01-01
Pepino cohombro,Medellín,2905.0,47.84,2026-01-01
Pimentón,Medellín,3678.0,10.22,2026-01-01
Remolacha,Medellín,2286.0,35.99,2026-01-01
Repollo blanco,Medellín,699.0,-3.32,2026-01-01
Tomate*,Medellín,3512.0,27.85,2026-01-01
Zanahoria,Medellín,675.0,-8.04,2026-01-01
Aguacate papelillo,Medellín,9450.0,-0.87,2026-01-01
Banano*,Medellín,1612.0,-6.55,2026-01-01
Coco,Medellín,7653.0,-14.94,2026-01-01
Granadilla,Medellín,4858.0,-12.69,2026-01-01
Guayaba pera,Medellín,2739.0,-9.33,2026-01-01
Limón común,Medellín,1432.0,-13.47,2026-01-01
Lulo,Medellín,4448.0,-4.81,2026-01-01
Mandarina*,Medellín,7748.0,57.7,2026-01-01
Mango Tommy,Medellín,2391.0,61.66,2026-01-01
Manzana royal gala importada,Medellín,8986.0,8.58,2026-01-01
Maracuyá,Medellín,3923.0,24.62,2026-01-01
Mora de Castilla,Medellín,4187.0,4.7,2026-01-01
Naranja*,Medellín,2899.0,23.36,2026-01-01
Papaya*,Medellín,3630.0,10.44,2026-01-01
Piña gold,Medellín,3831.0,21.12,2026-01-01
Tomate de árbol,Medellín,2382.0,9.47,2026-01-01
Uva red globe nacional,Medellín,9113.0,-29.98,2026-01-01
Arracacha*,Medellín,1627.0,-1.87,2026-01-01
Papa negra*,Medellín,1813.0,21.43,2026-01-01
Papa criolla limpia,Medellín,2777.0,6.81,2026-01-01
Plátano hartón verde,Medellín,2179.0,-3.16,2026-01-01
Arroz de primera,Medellín,3571.0,0.45,2026-01-01
Arveja verde seca importada,Medellín,3740.0,-5.44,2026-01-01
Fríjol seco*,Medellín,11781.0,-0.92,2026-01-01
Garbanzo importado,Medellín,5098.0,-5.12,2026-01-01
Lenteja importada,Medellín,4725.0,-1.56,2026-01-01
Maíz blanco trillado,Medellín,2163.0,-5.87,2026-01-01
Huevo tipo AA**,Medellín,429.0,-9.11,2026-01-01
Queso costeño,Medellín,32068.0,4.47,2026-01-01
"Carne de cerdo, lomo sin hueso",Medellín,23513.0,-0.77,2026-01-01
"Carne de res, lomo fino",Medellín,64131.0,3.34,2026-01-01
Pechuga de pollo,Medellín,16175.0,-11.9,2026-01-01
Aceite vegetal mezcla**,Medellín,8566.0,-0.49,2026-01-01
Azúcar sulfitada,Medellín,2967.0,-1.33,2026-01-01
Café molido,Medellín,46855.0,0.79,2026-01-01
Galletas saladas,Medellín,16613.0,1.91,2026-01-01
Harina de trigo,Medellín,4096.0,0.0,2026-01-01
Jugo instantáneo (sobre),Medellín,85688.0,1.74,2026-01-01
Lomitos de atún en lata,Medellín,32963.0,-2.02,2026-01-01
Margarina,Medellín,14331.0,-2.97,2026-01-01
Panela*,Medellín,5866.0,6.36,2026-01-01
Pastas alimenticias,Medellín,7391.0,2.04,2026-01-01
Sal yodada,Medellín,2660.0,7.52,2026-01-01
Salsa de tomate doy pack,Medellín,21502.0,-3.97,2026-01-01
Sardinas en lata,Medellín,17397.0,1.02,2026-01-01
Ahuyama,Pereira,1658.0,-0.3,2026-01-01
Arveja verde en vaina,Pereira,4515.0,-15.37,2026-01-01
Cebolla cabezona blanca,Pereira,1510.0,-3.14,2026-01-01
Cebolla junca,Pereira,2203.0,10.15,2026-01-01
Fríjol verde*,Pereira,5081.0,4.89,2026-01-01
Habichuela,Pereira,4847.0,28.13,2026-01-01
Lechuga Batavia,Pereira,2156.0,-5.36,2026-01-01
Pepino cohombro,Pereira,3246.0,7.91,2026-01-01
Pimentón,Pereira,4400.0,7.32,2026-01-01
Remolacha,Pereira,2940.0,42.17,2026-01-01
Repollo blanco,Pereira,1135.0,-7.87,2026-01-01
Tomate*,Pereira,3921.0,32.56,2026-01-01
Zanahoria,Pereira,1593.0,-19.79,2026-01-01
Aguacate papelillo,Pereira,9479.0,-0.22,2026-01-01
Banano*,Pereira,1807.0,-2.74,2026-01-01
Coco,Pereira,5385.0,-4.4,2026-01-01
Granadilla,Pereira,7581.0,-19.92,2026-01-01
Guayaba pera,Pereira,2488.0,-4.31,2026-01-01
Limón común,Pereira,2750.0,-3.0,2026-01-01
Lulo,Pereira,4331.0,-3.63,2026-01-01
Mandarina*,Pereira,4715.0,32.3,2026-01-01
Mango Tommy,Pereira,2958.0,47.31,2026-01-01
Manzana royal gala importada,Pereira,8180.0,2.49,2026-01-01
Maracuyá,Pereira,4175.0,5.91,2026-01-01
Mora de Castilla,Pereira,4781.0,-3.18,2026-01-01
Naranja*,Pereira,2466.0,25.24,2026-01-01
Papaya*,Pereira,2567.0,4.14,2026-01-01
Piña gold,Pereira,4683.0,25.72,2026-01-01
Tomate de árbol,Pereira,2771.0,0.76,2026-01-01
Uva red globe nacional,Pereira,8613.0,-32.59,2026-01-01
Arracacha*,Pereira,2490.0,6.46,2026-01-01
Papa negra*,Pereira,1510.0,15.18,2026-01-01
Papa criolla limpia,Pereira,2896.0,-10.76,2026-01-01
Plátano hartón verde,Pereira,2083.0,-6.72,2026-01-01
Yuca*,Pereira,3028.0,5.58,2026-01-01
Arroz de primera,Pereira,3733.0,0.0,2026-01-01
Arveja verde seca importada,Pereira,3830.0,0.0,2026-01-01
Fríjol seco*,Pereira,12150.0,-0.71,2026-01-01
Garbanzo importado,Pereira,6655.0,0.0,2026-01-01
Lenteja importada,Pereira,5885.0,-6.51,2026-01-01
Maíz blanco trillado,Pereira,2880.0,0.0,2026-01-01
Huevo tipo AA**,Pereira,433.0,-7.28,2026-01-01
"Carne de cerdo, lomo sin hueso",Pereira,23500.0,0.0,2026-01-01
"Carne de res, lomo fino",Pereira,42250.0,3.05,2026-01-01
Aceite vegetal mezcla**,Pereira,10051.0,0.0,2026-01-01
Café molido,Pereira,56673.0,1.2,2026-01-01
Galletas saladas,Pereira,18477.0,0.0,2026-01-01
Harina de trigo,Pereira,3822.0,0.0,2026-01-01
Harina precocida de maíz,Pereira,3904.0,0.0,2026-01-01
